date,open,close,high,low,volume,change,pct_change,amplitude_pct,turnover,turnover_rate
2024-06-14,123.11,136.4,138.58,122.18,586874.0,14.600000000000009,11.98686371100164,13.464696223316919,,
2024-06-17,139.1,140.61,143.04,138.6,378266.0,4.210000000000008,3.0865102639296316,3.255131964809382,,
2024-06-18,140.68,145.01,149.59,140.68,344578.0,4.399999999999977,3.129222672640619,6.336675912097288,,
2024-06-19,147.85,144.1,148.34,142.3,246413.0,-0.9099999999999966,-0.6275429280739209,4.16522998413902,,
2024-06-20,144.1,142.8,147.06,142.76,208398.0,-1.299999999999983,-0.9021512838306656,2.9840388619014653,,
2024-06-21,138.6,141.1,143.9,138.11,236958.0,-1.700000000000017,-1.1904761904761973,4.054621848739489,,
2024-06-24,143.3,138.31,144.59,137.65,204613.0,-2.789999999999992,-1.9773210489014814,4.918497519489722,,
2024-06-25,133.1,133.0,135.7,131.65,264489.0,-5.310000000000002,-3.8392017930735323,2.9282047574289516,,
2024-06-26,136.1,138.1,138.87,135.7,266283.0,5.099999999999994,3.8345864661654128,2.3834586466165533,,
2024-06-27,136.07,134.24,138.1,133.9,173074.0,-3.859999999999985,-2.7950760318609547,3.0412744388124464,,
2024-06-28,134.1,135.98,139.94,133.85,228263.0,1.7399999999999807,1.2961859356376504,4.536650774731825,,
2024-07-01,135.45,143.0,144.43,135.11,296493.0,7.02000000000001,5.162523900573612,6.853949110163255,,
2024-07-02,143.08,143.71,145.76,140.8,228769.0,0.710000000000008,0.49650349650349757,3.468531468531454,,
2024-07-03,142.1,141.6,142.55,138.2,151175.0,-2.1100000000000136,-1.468234639203958,3.0269292324820976,,
2024-07-04,143.9,141.11,145.45,141.11,172767.0,-0.4899999999999807,-0.3460451977400969,3.0649717514124117,,
2024-07-05,141.7,139.6,142.38,136.81,180387.0,-1.5100000000000193,-1.0700871660406897,3.9472751753950766,,
2024-07-08,144.19,142.49,145.1,140.49,203808.0,2.890000000000015,2.0702005730659057,3.3022922636103047,,
2024-07-09,141.99,152.43,154.1,140.51,310068.0,9.939999999999998,6.975928135307741,9.537511404309077,,
2024-07-10,152.1,155.63,156.07,150.68,236345.0,3.1999999999999886,2.099324279997372,3.536049334120571,,
2024-07-11,157.31,151.36,157.78,147.4,290843.0,-4.269999999999982,-2.7436869498168592,6.669665231639141,,
